test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_005,relevancia,llama3-8b-8192,2025-04-23T23:49:11.574538+00:00,1.157,1297,132,1429,True,True,True,
test_005,extraccion_hechos,llama3-8b-8192,2025-04-23T23:49:13.493068+00:00,1.718,2667,713,3380,True,True,True,
test_005,extraccion_entidades,llama3-8b-8192,2025-04-23T23:49:14.528204+00:00,0.834,1902,276,2178,True,True,True,
test_005,extraccion_citas,llama3-8b-8192,2025-04-23T23:49:16.048853+00:00,1.32,1747,921,2668,True,True,True,
test_005,extraccion_datos,llama3-8b-8192,2025-04-23T23:49:17.216070+00:00,0.966,2393,365,2758,True,True,True,
test_069,relevancia,llama3-8b-8192,2025-04-23T23:49:18.916498+00:00,0.997,1292,114,1406,True,True,True,
test_069,extraccion_hechos,llama3-8b-8192,2025-04-23T23:49:20.644345+00:00,1.527,3486,815,4301,True,True,True,
test_069,extraccion_entidades,llama3-8b-8192,2025-04-23T23:49:22.068428+00:00,1.223,2710,635,3345,True,True,True,
test_069,extraccion_citas,llama3-8b-8192,2025-04-23T23:49:23.778071+00:00,1.509,2555,1036,3591,True,True,True,
test_069,extraccion_datos,llama3-8b-8192,2025-04-23T23:49:25.232191+00:00,1.253,3201,504,3705,True,True,True,
test_040,relevancia,llama3-8b-8192,2025-04-23T23:49:26.755875+00:00,0.782,1292,139,1431,True,True,True,
test_040,extraccion_hechos,llama3-8b-8192,2025-04-23T23:49:29.158192+00:00,2.201,5723,1077,6800,True,True,True,
test_040,extraccion_entidades,llama3-8b-8192,2025-04-23T23:49:31.331310+00:00,1.972,4948,387,5335,True,True,True,
test_040,extraccion_citas,llama3-8b-8192,2025-04-23T23:49:33.310134+00:00,1.778,4793,696,5489,True,True,True,
test_040,extraccion_datos,llama3-8b-8192,2025-04-23T23:49:35.264899+00:00,1.754,5439,608,6047,True,True,True,
test_047,relevancia,llama3-8b-8192,2025-04-23T23:49:36.729087+00:00,0.759,978,112,1090,True,True,True,
test_047,extraccion_hechos,llama3-8b-8192,2025-04-23T23:49:38.242558+00:00,1.313,2042,718,2760,True,True,True,
test_047,extraccion_entidades,llama3-8b-8192,2025-04-23T23:49:39.353832+00:00,0.911,1270,148,1418,True,True,True,
test_047,extraccion_citas,llama3-8b-8192,2025-04-23T23:49:40.386650+00:00,0.832,1115,317,1432,True,True,True,
test_047,extraccion_datos,llama3-8b-8192,2025-04-23T23:49:41.921785+00:00,1.334,1761,117,1878,True,True,True,
test_004,relevancia,llama3-8b-8192,2025-04-23T23:49:43.430135+00:00,0.805,1237,125,1362,True,True,True,
test_004,extraccion_hechos,llama3-8b-8192,2025-04-23T23:49:45.073010+00:00,1.442,2744,889,3633,True,True,True,
test_004,extraccion_entidades,llama3-8b-8192,2025-04-23T23:49:46.366416+00:00,1.093,1975,517,2492,True,True,True,
test_004,extraccion_citas,llama3-8b-8192,2025-04-23T23:49:47.603757+00:00,1.037,1820,553,2373,True,True,True,
test_004,extraccion_datos,llama3-8b-8192,2025-04-23T23:49:48.989603+00:00,1.185,2466,652,3118,True,True,True,
