test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_005,prompt_0_filtrado,gemma2-9b-it,2025-04-24T10:50:12.697406+00:00,1.938,2095,315,2410,True,True,True,
test_005,prompt_1_elementos_basicos,gemma2-9b-it,2025-04-24T10:50:15.699899+00:00,2.701,1859,1299,3158,True,True,True,
test_005,prompt_2_citas_datos,gemma2-9b-it,2025-04-24T10:50:18.105447+00:00,2.102,3163,867,4030,True,True,True,
test_005,prompt_3_relaciones,gemma2-9b-it,2025-04-24T10:50:20.904617+00:00,2.495,4301,1111,5412,True,True,True,
test_005,prompt_4_json_final,gemma2-9b-it,2025-04-24T10:50:26.480105+00:00,5.273,,,,False,False,False,"API_Error: BadRequestError: Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n  ""articulo_metadata"": {\n    ""url"": ""https://www.eluniversal.com.co\n    ""medio"": ""www.eluniversal.com.co\n    ""pais_publicacion"": ""Colombia"",\n    ""tipo_medio"": ""medio digital"",\n    ""titular"": ""Polémica por propuesta de cerrar el Congreso de la República"",\n    ""fecha_publicacion"": ""2023-04-21"",\n    ""autor"": ""Daniel Quintero Calle"",\n    ""idioma"": ""es"",\n    ""seccion"": ""Política"",\n    ""etiquetas_fuente"": [""Polémica"",\n    ""es_opinion"": false,\n    ""es_oficial"": false,\n    ""relaciones"": [\n    ""hechos"": [\n    ""id"": 1,\n    ""contenido"": ""Daniel Quintero Calle propone cerrar el Congreso y convocar una constituyente para resetear este país, porque, así como está, no funciona. No hay que tenerle miedo a esta generación. Esta generación está lista para plantear una nueva institucionalidad.\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": [],\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""202023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocur\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_temporal"": ""dia"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""es_evento_futuro"": false,\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""precision_\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""tipo_\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""tipo_hecho"": ""DECLARACION"",\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""region"": [],\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""tipo_\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""tipo_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""tipo_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""202\n    ""pais"": [],\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""tipo_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""202\n    ""pais"": [],\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2\n    ""pais"": [],\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2\n    ""pais"": [],\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""ciudad"": []\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""estado_programacion"": null\n    ""fecha_ocurrencia"": {""inicio"": ""2023-04-21"",\n    ""pais"": [],\n    ""estado_programacion"": null\n    ""fecha_'}}"
test_069,prompt_0_filtrado,gemma2-9b-it,2025-04-24T10:50:28.060541+00:00,1.053,2792,372,3164,True,True,True,
test_069,prompt_1_elementos_basicos,gemma2-9b-it,2025-04-24T10:50:33.266992+00:00,4.905,2556,2322,4878,True,True,True,
test_069,prompt_2_citas_datos,gemma2-9b-it,2025-04-24T10:50:40.023074+00:00,6.454,,,,False,False,False,"API_Error: BadRequestError: Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n  ""citas_textuales"": [\n    {\n      ""id"": 1,\n      ""cita"": ""Sin mencionar su nombre pero sí el de su primo Jorge, Javier Milei criticó elípticamente a Mauricio Macri al emparentar la decisión de desdoblar las elecciones porteñas a un interés de ambos dirigentes de ""cuidar los negocios"" en la Ciudad. "",\n      ""entidad_id"": 1,\n      ""hecho_id"": 1,\n      ""fecha"": ""2025-04-14,\\n      ""contexto"": ""En el contexto de la salida del cepo, Milei acusó al alcalde porteño y al ex presidente de haber cometido una ""traición por la espalda"" al contratar al publicista de Sergio Masa y le endilgó la falta de acuerdo electoral en el distrito en momentos en que Karina Milei lidera un entendimiento con el PRO en la Provincia. "",\\n      ""relevancia"": 4\\n    },\\n    {\\n      ""id"": 2,\\n      ""cita"": ""El cepo se puso durante el final del gobierno de Macri con Hernán Lacunza, generando un monstruo cambiario que además defaulteó la deuda en pesos. Bajo el pretexto del reperfilamiento, Lacunza y Macri defaultearon deuda en pesos, algo sin precedentes"",\\n      ""entidad_id"": 1,\\n      ""hecho_id"": 3,\\n      ""fecha"": ""2025-04-14,\n      ""contexto"": ""En la discusión política, Milei se metió en la discusión política y siguió atacando a los primos Macri, para defender a su hermana, quien es recurrentemente atacada por el fundador del PRO. "",\n      ""relevancia"": 3\n    },\n    {\n      ""id"": 3,\n      ""cita"": ""Por el tema de la Ciudad se generó mucho problema y están demonizando a mi hermana de manera totalmente injusta. Yo dije vamos juntos en todos lados. ¿Y yo desdoblar las elecciones en la Ciudad?"",\n      ""entidad_id"": 1,\n      ""hecho_id"": 4,\n      ""fecha"": ""2025-04-14,\\n      ""contexto"": ""En la discusión sobre la gestión del Ejecutivo porteño, Milei criticó la propuesta de subir impuestos y propuso una agenda de reformas parecida a la que se está haciendo en Nación y la voltea. "",\\n      ""relevancia"": 3\\n    },\\n    {\\n      ""id"": 4,\\n      ""cita"": ""Ponían cuatro legisladores y nosotros uno. Si a ustedes le hacen esa propuesta, parece una carga, porque hoy La Libertad Avanza es mucho más poderosa que el PRO"",\\n      ""entidad_id"": 1,\\n      ""hecho_id"": 5,\\n      ""fecha"": ""2025-04-14,\n      ""contexto"": ""En la reunión entre ambos, Milei aseguró que habrá entendimiento entre ambas fuerzas en la Provincia y que la vuelta del kirchnerismo no va a pasar. "",\n      ""relevancia"": 4\n    },\n    {\n      ""id"": 6,\n      ""cita"": ""Quiero felicitar a LLA en Santa Fe por haber ganado en Rosario. Es una estructura que tiene cinco meses y se ganó esa ciudad. No es un tema menor"",\n      ""entidad_id"": \n      ""hecho_id"": 6,\n      ""fecha"": ""2025-04-14,\\n      ""contexto"": ""Milei criticó a Jorge por contratar al consultor español Antoni Gutiérrez-Rubí, el mismo que a Massa. ¿No le parece una traición por la espalda si empieza a repetir las cosas que hizo con Massa"",\\n      ""relevancia"": \\n    }\\n  ],\\n  ""datos_cuantitativos"": [\\n    {\\n      ""id"": 1,\\n      ""hecho_id"": 7,\\n      ""fecha"": ""2025-04-14,\n      ""contexto"": ""\\n      ""relevancia"": \\n  ]\\n}'}}"
test_069,prompt_3_relaciones,gemma2-9b-it,,,,,,False,False,False,Pipeline stopped in previous step
test_069,prompt_4_json_final,gemma2-9b-it,,,,,,False,False,False,Pipeline stopped in previous step
