test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_005,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-24T10:51:57.532739+00:00,1.046,2507,407,2914,True,True,True,
test_005,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-24T10:51:59.593070+00:00,1.758,1975,798,2773,True,True,True,
test_005,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-24T10:52:01.468642+00:00,1.574,2822,831,3653,True,True,True,
test_005,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-24T10:52:03.816513+00:00,2.046,3877,1058,4935,True,True,True,
test_005,prompt_4_json_final,llama-3.1-8b-instant,2025-04-24T10:52:09.299673+00:00,5.181,5101,3213,8314,True,True,True,
test_069,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-24T10:52:12.027177+00:00,1.913,3323,469,3792,True,True,True,
test_069,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-24T10:52:18.585852+00:00,6.257,2791,3787,6578,True,True,True,
test_069,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-24T10:52:21.679611+00:00,2.791,6691,1108,7799,True,True,True,
test_069,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-24T10:52:24.925601+00:00,2.943,8030,1205,9235,True,True,True,
test_069,prompt_4_json_final,llama-3.1-8b-instant,2025-04-24T10:52:29.715592+00:00,4.485,9400,2756,12156,True,True,True,
test_040,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-24T10:52:31.834802+00:00,1.312,5613,423,6036,True,True,True,
