test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_005,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-24T09:44:24.661194+00:00,3.837,1587,382,1969,True,True,True,
test_005,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-24T09:44:25.989947+00:00,1.026,1043,432,1475,True,True,True,
test_005,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-24T09:44:28.153754+00:00,1.861,1086,693,1779,True,True,True,
test_005,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-24T09:44:29.798224+00:00,1.343,1296,600,1896,True,True,True,
test_005,prompt_4_json_final,llama-3.1-8b-instant,2025-04-24T09:44:31.861950+00:00,1.762,1446,1038,2484,True,True,True,
test_069,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-24T09:44:33.497845+00:00,0.822,1587,380,1967,True,True,True,
test_069,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-24T09:44:37.514940+00:00,3.715,1043,2251,3294,True,True,True,
test_069,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-24T09:44:39.258495+00:00,1.44,1086,629,1715,True,True,True,
test_069,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-24T09:44:41.707252+00:00,2.146,1296,526,1822,True,True,True,
test_069,prompt_4_json_final,llama-3.1-8b-instant,2025-04-24T09:44:43.207354+00:00,1.198,1446,605,2051,True,True,True,
test_040,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-24T09:44:44.871112+00:00,0.859,1587,400,1987,True,True,True,
test_040,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-24T09:44:46.189008+00:00,1.016,1043,534,1577,True,True,True,
test_040,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-24T09:44:47.873784+00:00,1.383,1086,667,1753,True,True,True,
test_040,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-24T09:44:49.560401+00:00,1.385,1296,798,2094,True,True,True,
test_040,prompt_4_json_final,llama-3.1-8b-instant,2025-04-24T09:44:51.258590+00:00,1.396,1446,605,2051,True,True,True,
test_047,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-24T09:44:52.921772+00:00,0.859,1587,370,1957,True,True,True,
test_047,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-24T09:44:54.958573+00:00,1.735,1043,492,1535,True,True,True,
test_047,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-24T09:44:56.603831+00:00,1.344,1086,636,1722,True,True,True,
test_047,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-24T09:44:59.053972+00:00,2.148,1296,585,1881,True,True,True,
test_047,prompt_4_json_final,llama-3.1-8b-instant,2025-04-24T09:45:00.575846+00:00,1.22,1446,605,2051,True,True,True,
test_004,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-24T09:45:02.315895+00:00,0.935,1587,442,2029,True,True,True,
test_004,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-24T09:45:03.573576+00:00,0.955,1043,429,1472,True,True,True,
test_004,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-24T09:45:05.140296+00:00,1.265,1086,660,1746,True,True,True,
test_004,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-24T09:45:06.924091+00:00,1.482,1296,756,2052,True,True,True,
test_004,prompt_4_json_final,llama-3.1-8b-instant,2025-04-24T09:45:09.047572+00:00,1.822,1446,933,2379,True,True,True,
