test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_005,prompt_0_filtrado,llama-3.3-70b-versatile,2025-04-24T09:41:10.622214+00:00,1.326,1587,227,1814,True,True,True,
test_005,prompt_1_elementos_basicos,llama-3.3-70b-versatile,2025-04-24T09:41:11.477296+00:00,0.553,1043,14,1057,True,True,True,
test_005,prompt_2_citas_datos,llama-3.3-70b-versatile,2025-04-24T09:41:12.274081+00:00,0.495,1086,19,1105,True,True,True,
test_005,prompt_3_relaciones,llama-3.3-70b-versatile,2025-04-24T09:41:14.485298+00:00,1.91,1296,384,1680,True,True,True,
test_005,prompt_4_json_final,llama-3.3-70b-versatile,2025-04-24T09:41:18.985321+00:00,4.198,1446,939,2385,True,True,True,
test_069,prompt_0_filtrado,llama-3.3-70b-versatile,2025-04-24T09:41:21.132935+00:00,1.344,1587,263,1850,True,True,True,
test_069,prompt_1_elementos_basicos,llama-3.3-70b-versatile,2025-04-24T09:41:21.879230+00:00,0.445,1043,14,1057,True,True,True,
test_069,prompt_2_citas_datos,llama-3.3-70b-versatile,2025-04-24T09:41:22.594821+00:00,0.412,1086,19,1105,True,True,True,
test_069,prompt_3_relaciones,llama-3.3-70b-versatile,2025-04-24T09:41:24.856896+00:00,1.961,1296,380,1676,True,True,True,
test_069,prompt_4_json_final,llama-3.3-70b-versatile,2025-04-24T09:41:29.267459+00:00,4.109,1446,986,2432,True,True,True,
test_040,prompt_0_filtrado,llama-3.3-70b-versatile,2025-04-24T09:41:31.484306+00:00,1.412,1587,279,1866,True,True,True,
test_040,prompt_1_elementos_basicos,llama-3.3-70b-versatile,2025-04-24T09:41:32.275178+00:00,0.489,1043,14,1057,True,True,True,
test_040,prompt_2_citas_datos,llama-3.3-70b-versatile,2025-04-24T09:41:33.137595+00:00,0.561,1086,19,1105,True,True,True,
test_040,prompt_3_relaciones,llama-3.3-70b-versatile,2025-04-24T09:41:35.203317+00:00,1.761,1296,385,1681,True,True,True,
test_040,prompt_4_json_final,llama-3.3-70b-versatile,2025-04-24T09:41:39.704726+00:00,4.2,1446,939,2385,True,True,True,
test_047,prompt_0_filtrado,llama-3.3-70b-versatile,2025-04-24T09:41:42.041154+00:00,1.529,1587,307,1894,True,True,True,
test_047,prompt_1_elementos_basicos,llama-3.3-70b-versatile,2025-04-24T09:41:42.715897+00:00,0.373,1043,14,1057,True,True,True,
test_047,prompt_2_citas_datos,llama-3.3-70b-versatile,2025-04-24T09:41:43.565570+00:00,0.548,1086,19,1105,True,True,True,
test_047,prompt_3_relaciones,llama-3.3-70b-versatile,2025-04-24T09:41:45.602601+00:00,1.735,1296,379,1675,True,True,True,
test_047,prompt_4_json_final,llama-3.3-70b-versatile,2025-04-24T09:41:50.005375+00:00,4.1,1446,1026,2472,True,True,True,
test_004,prompt_0_filtrado,llama-3.3-70b-versatile,2025-04-24T09:41:52.262456+00:00,1.451,1587,256,1843,True,True,True,
test_004,prompt_1_elementos_basicos,llama-3.3-70b-versatile,2025-04-24T09:41:52.954110+00:00,0.39,1043,14,1057,True,True,True,
test_004,prompt_2_citas_datos,llama-3.3-70b-versatile,2025-04-24T09:41:53.815434+00:00,0.56,1086,19,1105,True,True,True,
test_004,prompt_3_relaciones,llama-3.3-70b-versatile,2025-04-24T09:41:56.163020+00:00,2.046,1296,379,1675,True,True,True,
test_004,prompt_4_json_final,llama-3.3-70b-versatile,2025-04-24T09:42:00.750815+00:00,4.286,1446,1026,2472,True,True,True,
