test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_005,prompt_0_filtrado,llama3-8b-8192,2025-04-24T09:47:45.920965+00:00,0.826,1562,255,1817,True,True,True,
test_005,prompt_1_elementos_basicos,llama3-8b-8192,2025-04-24T09:47:46.983076+00:00,0.76,1023,420,1443,True,True,True,
test_005,prompt_2_citas_datos,llama3-8b-8192,2025-04-24T09:47:47.881624+00:00,0.597,1066,299,1365,True,True,True,
test_005,prompt_3_relaciones,llama3-8b-8192,2025-04-24T09:47:48.833025+00:00,0.65,1276,305,1581,True,True,True,
test_005,prompt_4_json_final,llama3-8b-8192,2025-04-24T09:47:50.033028+00:00,0.897,1426,602,2028,True,True,True,
test_069,prompt_0_filtrado,llama3-8b-8192,2025-04-24T09:47:51.536599+00:00,0.695,1562,327,1889,True,True,True,
test_069,prompt_1_elementos_basicos,llama3-8b-8192,2025-04-24T09:47:52.673326+00:00,0.835,1023,524,1547,True,True,True,
test_069,prompt_2_citas_datos,llama3-8b-8192,2025-04-24T09:47:54.037945+00:00,1.063,1066,278,1344,True,True,True,
test_069,prompt_3_relaciones,llama3-8b-8192,2025-04-24T09:47:54.972640+00:00,0.633,1276,310,1586,True,True,True,
test_069,prompt_4_json_final,llama3-8b-8192,2025-04-24T09:47:56.191374+00:00,0.917,1426,601,2027,True,True,True,
test_040,prompt_0_filtrado,llama3-8b-8192,2025-04-24T09:47:57.613701+00:00,0.618,1562,231,1793,True,True,True,
test_040,prompt_1_elementos_basicos,llama3-8b-8192,2025-04-24T09:47:58.631127+00:00,0.715,1023,430,1453,True,True,True,
test_040,prompt_2_citas_datos,llama3-8b-8192,2025-04-24T09:47:59.517997+00:00,0.585,1066,282,1348,True,True,True,
test_040,prompt_3_relaciones,llama3-8b-8192,2025-04-24T09:48:00.447104+00:00,0.628,1276,305,1581,True,True,True,
test_040,prompt_4_json_final,llama3-8b-8192,2025-04-24T09:48:02.636219+00:00,1.887,1426,601,2027,True,True,True,
test_047,prompt_0_filtrado,llama3-8b-8192,2025-04-24T09:48:04.227416+00:00,0.785,1562,424,1986,True,True,True,
test_047,prompt_1_elementos_basicos,llama3-8b-8192,2025-04-24T09:48:05.237741+00:00,0.709,1023,416,1439,True,True,True,
test_047,prompt_2_citas_datos,llama3-8b-8192,2025-04-24T09:48:06.192649+00:00,0.653,1066,281,1347,True,True,True,
test_047,prompt_3_relaciones,llama3-8b-8192,2025-04-24T09:48:07.645527+00:00,1.151,1276,305,1581,True,True,True,
test_047,prompt_4_json_final,llama3-8b-8192,2025-04-24T09:48:09.028205+00:00,1.079,1426,800,2226,True,True,True,
test_004,prompt_0_filtrado,llama3-8b-8192,2025-04-24T09:48:10.454448+00:00,0.621,1562,231,1793,True,True,True,
test_004,prompt_1_elementos_basicos,llama3-8b-8192,2025-04-24T09:48:11.485269+00:00,0.729,1023,432,1455,True,True,True,
test_004,prompt_2_citas_datos,llama3-8b-8192,2025-04-24T09:48:12.425007+00:00,0.638,1066,291,1357,True,True,True,
test_004,prompt_3_relaciones,llama3-8b-8192,2025-04-24T09:48:13.363113+00:00,0.636,1276,311,1587,True,True,True,
test_004,prompt_4_json_final,llama3-8b-8192,2025-04-24T09:48:14.657920+00:00,0.993,1426,601,2027,True,True,True,
