test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_001,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-25T02:07:24.783942+00:00,1.575,2909,481,3390,True,True,True,
test_001,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-25T02:07:28.998449+00:00,3.912,2377,2180,4557,True,True,True,
test_001,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-25T02:07:32.485788+00:00,3.185,4646,1593,6239,True,True,True,
test_001,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-25T02:07:36.027332+00:00,3.231,6481,1701,8182,True,True,True,
test_001,prompt_4_json_final,llama-3.1-8b-instant,2025-04-25T02:07:42.725585+00:00,6.392,,,,False,False,False,"API_Error: BadRequestError: Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}"
test_002,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-25T02:07:44.312947+00:00,1.041,2562,461,3023,True,True,True,
test_002,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-25T02:07:50.900072+00:00,6.282,,,,False,False,False,"API_Error: BadRequestError: Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n   ""hechos"": [\n      {\n         ""id"": 1,\n         ""contenido"": ""El Polo Democrático oficializa su unión al Pacto Histórico"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 2,\n         ""contenido"": ""El Polo Democrático busca presentarse como una sola fuerza política en las elecciones presidenciales y legislativas"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 3,\n         ""contenido"": ""El Polo Democrático se integra al Pacto Histórico, una coalición de izquierda que busca consolidarse como una única fuerza política"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 4,\n         ""contenido"": ""El Polo Democrático busca consolidar un frente unificado para las elecciones de 2026"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 5,\n         ""contenido"": ""El Polo Democrático busca tener mayor incidencia en la agenda política"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 6,\n         ""contenido"": ""El Polo Democrático busca representar a las fuerzas de izquierda del país"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 7,\n         ""contenido"": ""El Polo Democrático busca fortalecer un bloque de izquierda capaz de influir y desarrollar el programa del actual gobierno"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 8,\n         ""contenido"": ""El Polo Democrático busca avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 9,\n         ""contenido"": ""El Polo Democrático busca consolidar un bloque político que permita avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 10,\n         ""contenido"": ""El Polo Democrático busca fortalecer un bloque de izquierda capaz de influir y desarrollar el programa del actual gobierno"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 11,\n         ""contenido"": ""El Polo Democrático busca avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 12,\n         ""contenido"": ""El Polo Democrático busca consolidar un bloque político que permita avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 13,\n         ""contenido"": ""El Polo Democrático busca fortalecer un bloque de izquierda capaz de influir y desarrollar el programa del actual gobierno"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 14,\n         ""contenido"": ""El Polo Democrático busca avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 15,\n         ""contenido"": ""El Polo Democrático busca consolidar un bloque político que permita avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 16,\n         ""contenido"": ""El Polo Democrático busca fortalecer un bloque de izquierda capaz de influir y desarrollar el programa del actual gobierno"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 17,\n         ""contenido"": ""El Polo Democrático busca avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 18,\n         ""contenido"": ""El Polo Democrático busca consolidar un bloque político que permita avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 19,\n         ""contenido"": ""El Polo Democrático busca fortalecer un bloque de izquierda capaz de influir y desarrollar el programa del actual gobierno"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 20,\n         ""contenido"": ""El Polo Democrático busca avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 21,\n         ""contenido"": ""El Polo Democrático busca consolidar un bloque político que permita avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 22,\n         ""contenido"": ""El Polo Democrático busca fortalecer un bloque de izquierda capaz de influir y desarrollar el programa del actual gobierno"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 23,\n         ""contenido"": ""El Polo Democrático busca avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 24,\n         ""contenido"": ""El Polo Democrático busca consolidar un bloque político que permita avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 25,\n         ""contenido"": ""El Polo Democrático busca fortalecer un bloque de izquierda capaz de influir y desarrollar el programa del actual gobierno"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 26,\n         ""contenido"": ""El Polo Democrático busca avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 27,\n         ""contenido"": ""El Polo Democrático busca consolidar un bloque político que permita avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 28,\n         ""contenido"": ""El Polo Democrático busca fortalecer un bloque de izquierda capaz de influir y desarrollar el programa del actual gobierno"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 29,\n         ""contenido"": ""El Polo Democrático busca avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 30,\n         ""contenido"": ""El Polo Democrático busca consolidar un bloque político que permita avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 31,\n         ""contenido"": ""El Polo Democrático busca fortalecer un bloque de izquierda capaz de influir y desarrollar el programa del actual gobierno"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 32,\n         ""contenido"": ""El Polo Democrático busca avanzar en las transformaciones necesarias para Colombia"",\n         ""fecha"": {\n            ""inicio"": ""2025-04-12"",\n            ""fin"": ""2025-04-12""\n         },\n         ""precision_temporal"": ""dia"",\n         ""tipo_hecho"": ""ANUNCIO"",\n         ""pais"": [""Colombia""],\n         ""region"": [],\n         ""ciudad"": [],\n         ""es_futuro"": false,\n         ""estado_programacion"": null\n      }}'}}"
test_002,prompt_2_citas_datos,llama-3.1-8b-instant,,,,,,False,False,False,Pipeline stopped in previous step
test_002,prompt_3_relaciones,llama-3.1-8b-instant,,,,,,False,False,False,Pipeline stopped in previous step
test_002,prompt_4_json_final,llama-3.1-8b-instant,,,,,,False,False,False,Pipeline stopped in previous step
